iSeq037_2_DNAamplicons			
Sample_ID	R1_file_name	R2_file_name	Amplicon_products
130820_MG_WSG1	19-13820MG-WSG1_S67_L001_R1_001.fastq.gz	19-13820MG-WSG1_S67_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
190820_MB_SDR1	20-19820MBSDR1_S68_L001_R1_001.fastq.gz	20-19820MBSDR1_S68_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
030920_MB_SDR1	21-3920MBSDR1_S69_L001_R1_001.fastq.gz	21-3920MBSDR1_S69_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
100920_PY01	22-100920PY01_S70_L001_R1_001.fastq.gz	22-100920PY01_S70_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
170920_FB_SDR1	23-17920FBSDRMary_S71_L001_R1_001.fastq.gz	23-17920FBSDRMary_S71_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
220920_PY01	24-22920FGPYRAVB1_S72_L001_R1_001.fastq.gz	24-22920FGPYRAVB1_S72_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
290920_PY01	25-290920PY01_S73_L001_R1_001.fastq.gz	25-290920PY01_S73_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
121020_PY01	26-121020PY01_S74_L001_R1_001.fastq.gz	26-121020PY01_S74_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
150121_PY01	27-150121PY01_S75_L001_R1_001.fastq.gz	27-150121PY01_S75_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
090421_PY01	28-090421PY01_S76_L001_R1_001.fastq.gz	28-090421PY01_S76_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
090421_PY02	29-090421PY02_S77_L001_R1_001.fastq.gz	29-090421PY02_S77_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
090421M_B_SDR1	30-9421MBSDR1_S78_L001_R1_001.fastq.gz	30-9421MBSDR1_S78_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
140421_PY03	31-140421PY03_S79_L001_R1_001.fastq.gz	31-140421PY03_S79_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
140421_PY02	32-140421PY02_S80_L001_R1_001.fastq.gz	32-140421PY02_S80_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
140421_MG_WSG1	33-14421MGWSG1_S81_L001_R1_001.fastq.gz	33-14421MGWSG1_S81_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
200421_MB_SDR1	34-20421MBSDR1_S82_L001_R1_001.fastq.gz	34-20421MBSDR1_S82_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
040521_MB_SDR1	35-4521MBSDR1_S83_L001_R1_001.fastq.gz	35-4521MBSDR1_S83_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
050521_PY02	36-050521PY02_S84_L001_R1_001.fastq.gz	36-050521PY02_S84_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
070521_PY01	37-070521PY01_S85_L001_R1_001.fastq.gz	37-070521PY01_S85_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
180521_MG_PF3	38-18521MGPF3_S86_L001_R1_001.fastq.gz	38-18521MGPF3_S86_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
180521_MG_PF1	39-18521MGPF1_S87_L001_R1_001.fastq.gz	39-18521MGPF1_S87_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
180521_FG_PF2	40-18521FGPF2_S88_L001_R1_001.fastq.gz	40-18521FGPF2_S88_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
200521_MR_PF2	41-20521MRPig2_S89_L001_R1_001.fastq.gz	41-20521MRPig2_S89_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
250521_MG_PF1	42-25521MGPig1_S90_L001_R1_001.fastq.gz	42-25521MGPig1_S90_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
030621_MR_PF1	43-3621MRPig1_S91_L001_R1_001.fastq.gz	43-3621MRPig1_S91_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
090621_MG_Cors	44-9621MGJohn1_S92_L001_R1_001.fastq.gz	44-9621MGJohn1_S92_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
090621_MG_PF1	45-9621MGPig1_S93_L001_R1_001.fastq.gz	45-9621MGPig1_S93_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
240621_PY01	46-240621PY01_S94_L001_R1_001.fastq.gz	46-240621PY01_S94_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
300621_PY01	47-300621PY01_S95_L001_R1_001.fastq.gz	47-300621PY01_S95_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
020721_PY01	48-020721PY01_S96_L001_R1_001.fastq.gz	48-020721PY01_S96_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
020721_PY02	49-020721PY02_S97_L001_R1_001.fastq.gz	49-020721PY02_S97_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
020721_PY03	50-020721PY03_S98_L001_R1_001.fastq.gz	50-020721PY03_S98_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
080721_PY01	51-080721PY01_S99_L001_R1_001.fastq.gz	51-080721PY01_S99_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
110721_MR_Cors	52-11721MRJohn_S100_L001_R1_001.fastq.gz	52-11721MRJohn_S100_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
110721_M_Rav	53-Young-male66_S101_L001_R1_001.fastq.gz	53-Young-male66_S101_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
210721_PY01	54-210721PY01_S102_L001_R1_001.fastq.gz	54-210721PY01_S102_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
210721_PY02	55-210721PY02_S103_L001_R1_001.fastq.gz	55-210721PY02_S103_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
120621_Becks	56-12621BH-001_S104_L001_R1_001.fastq.gz	56-12621BH-001_S104_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
190521PY01	57-190521PY01_S105_L001_R1_001.fastq.gz	57-190521PY01_S105_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
190521PY02	58-190521PY02_S106_L001_R1_001.fastq.gz	58-190521PY02_S106_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
190521PY03	59-190521PY03_S107_L001_R1_001.fastq.gz	59-190521PY03_S107_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
190521PY04	60-190521PY04_S108_L001_R1_001.fastq.gz	60-190521PY04_S108_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
210521PY01	61-210521PY01_S109_L001_R1_001.fastq.gz	61-210521PY01_S109_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
250521PY01	62-250521PY01_S110_L001_R1_001.fastq.gz	62-250521PY01_S110_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
270521PY01	63-270521PY01_S111_L001_R1_001.fastq.gz	63-270521PY01_S111_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
090621PY01	64-090621PY01_S112_L001_R1_001.fastq.gz	64-090621PY01_S112_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
180621PY01	65-180621PY01_S113_L001_R1_001.fastq.gz	65-180621PY01_S113_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
250621PY01	66-250621PY01_S114_L001_R1_001.fastq.gz	66-250621PY01_S114_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
250621PY02	67-250621PY02_S115_L001_R1_001.fastq.gz	67-250621PY02_S115_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
Sandy	70-Sandy_S118_L001_R1_001.fastq.gz	70-Sandy_S118_L001_R2_001.fastq.gz	"GPX7_chr4:27664860-27665060, H19_chr6:282653001-282653184, IGF2R_chr7:94900212-94900445, UBP1_chr9:207243078-207243308, MLH1_chr9:191435100-191435323, MLH1_chr9:191435894-191436094, EPM2AIP1_chr9:191486841-191487058"
No_template_control_1	71-NTC2_S119_L001_R1_001.fastq.gz	71-NTC2_S119_L001_R2_001.fastq.gz	
